id,sec,loc,claim,value,exp,data,script,figure,worklog,status,note
C-46,6 Hyperchaos,Sec. 6.2,The irregular flow is deterministic chaos of moderate dimension with more than one unstable direction.,"Largest finite-time exponent positive at all five resolved points of 0.29 <= lambda <= 0.32, between 0.040 and 0.053 t0^-1. At lambda = 0.31 the trajectory remains non-stationary over T = 3000 t0 (about 150 inverse-Lyapunov times) with largest exponent converging to 0.048 t0^-1.",E23A (nature of the chaos),data/4_attractors_basins_chaos/data/E23A_lyap.npz ; data/4_attractors_basins_chaos/data/E23A_geometry.npz,code/experiments/e23a_chaos_nature.py,"Figure08_hyperchaos.png (b,c)",docs/worklogs/REPORT_attracteurs.md E23A,established,
C-47,6 Hyperchaos,"Sec. 6.2, Eq. (32)",An eight-direction tangent computation gives three positive exponents and an effective Kaplan-Yorke dimension of about 6.4.,"Spectrum (0.035, 0.011, 0.0015, -0.003, -0.008, -0.022, -0.032, -0.042) t0^-1; D_KY ~ 6.4.",E23A,data/4_attractors_basins_chaos/data/E23A_lyap.npz,code/experiments/e23a_chaos_nature.py,Figure08_hyperchaos.png (b),docs/worklogs/REPORT_attracteurs.md E23A,qualified,"Finite-window characterization of one attractor: an order of magnitude for the dimension, not a converged extensive quantity, and not extensivity in N. The near-zero third value is the finite-time estimator of the exact neutral flow direction. NOTE: this spectrum comes from E23A and differs from the independent float64 N6 spectra quoted in C-48 - the two are different measurements of the same attractor and should not be mixed in one sentence."
C-48,6 Hyperchaos,Sec. 6.2 (replication),"The hyperchaos diagnosis replicates across disorder: the attractor at (alpha, lambda, tau) = (0.05, 0.31, 10) is hyperchaotic in all five tested realizations.",Five seeds 42-46; the three leading exponents stay positive at both dt = 0.01 and the dt = 0.005 control. Smallest third exponent over all controls: 0.01145.,N6 (multi-seed float64 Lyapunov campaign),data/v5_campaigns/reports/N6_multiseed_lyapunov.csv ; data/v5_campaigns/reports/N6_multiseed_lyapunov_summary.json ; data/v5_campaigns/runs/N6/,code/campaigns/n6_lyapunov_campaign.py ; code/campaigns/plot_n6_multiseed_lyapunov.py,Figure08_hyperchaos.png (a),data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §8 ; data/v5_campaigns/reports/N6_GATE_STATUS.md,established,"Validated at lambda = 0.31 only. Seed-42 points at lambda = 0.29 and 0.32 are sensitive to basin or time step and must not be used to claim a continuous hyperchaotic interval. Eight exponents do not close the partial sum, so the full Kaplan-Yorke dimension and the neutral flow exponent remain unresolved."
C-49,6 Hyperchaos,Sec. 6.2 (spectrum panel),"The power spectrum of the leading overlap time series is continuous and broadband, excluding a noisy periodic orbit.","Squared modulus of the DFT after mean subtraction and Hann windowing, for the pattern with the largest time-averaged |a_mu| on the chaotic trajectory at lambda = 0.31.",E23A,data/4_attractors_basins_chaos/data/E23A_geometry.npz,code/experiments/e23a_chaos_nature.py,Figure08_hyperchaos.png (d),docs/worklogs/REPORT_attracteurs.md E23A,established,
C-50,6 Hyperchaos,Sec. 6.3,The chaotic window is stationary: two-time correlations collapse as functions of the lag with no t/t_w aging collapse.,"Waiting times t_w in {0, 50, 200, 800, 3200}. At alpha = 0.05 the total spread at lag 20 t0 is 0.009 on a normalized correlation of order one, the relative long-wait variation is 0.002 and the decorrelation time is about 2 t0. Lag-20 spreads are 0.021 at alpha = 0.08 and 0.025 at alpha = 0.10, all an order of magnitude below the conventional aging threshold 0.1.",E33 (aging test),data/4_attractors_basins_chaos/data/E33_aging_mlx.npz ; _a0p08.npz ; _a0p10.npz ; _a0p12.npz,code/experiments/e33_aging.py ; code/experiments/e33_analysis.py ; code/experiments/e33_vs_alpha.py,Figure08_hyperchaos.png (e),docs/worklogs/REPORT_attracteurs.md E33,qualified,"Smaller usable ensembles at higher load. The V5 register rates the stationarity/ergodicity claim as an observation, not a proof of an invariant measure; the planned float64 control (N9) was withdrawn from scope on 2026-07-30. E33 used the MLX/float32 path - state this in the methods. The figures_v2 README also records a convention: t_w = 0 is excluded from the spread because it is still inside the settle transient."
C-51,7 Delay and correlations,Sec. 7.1,"Reducing the delay does not merely accelerate the orbit; it changes its nature, from a broad multi-memory packet to a reproducible one-memory front.","At lambda = 0.90: zero delay gives T1 = 1.9 +/- 1.2 (no clock), front spanning 15 pattern indices, largest analog overlap 0.16, participation number 21. At tau = 1.4 these become 2.15 +/- 0.01 (0.5% jitter), 1.3, 0.67 and 1.5.",E22 (desynchronization at small tau),data/5_short_delay/data/E22_desync.npz ; data/5_short_delay/data/E22_RESULTS.md,code/experiments/e22_desync.py,"Figure09_short_delay.png (c,d)",docs/worklogs/REPORT_faible_tau.md E22,established,
C-52,7 Delay and correlations,"Sec. 7.1, Eq. (33)",The condensation crossover is sharp and robust to disorder.,"Reference crossover tau_c ~ 1.31; independent sigmoidal fits for seeds 42-46 give midpoints 1.28, 1.24, 1.34, 1.23, 1.23 - a few percent spread around a value of order the neuronal relaxation time t0 = 1.",E22 (reference) + N5A (multi-seed),data/v5_campaigns/runs/N5A/analysis.json ; data/5_short_delay/data/E22_desync.npz,code/campaigns/n5a_delay_scan.py ; code/campaigns/n5a_analyse.py ; code/experiments/e22_desync.py,"Figure09_short_delay.png (a,b)",data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §6 ; docs/worklogs/REPORT_faible_tau.md E22,established,"N5A exact midpoints: 1.28225, 1.23475, 1.33786, 1.23384, 1.23338. The rest of the N5A gate FAILED (most boundary lines have only two Lyapunov-resolved points instead of four), so N5A supports the coherence crossover but NOT a cycle-chaos boundary; the manuscript correctly claims only the crossover."
C-53,7 Delay and correlations,"Sec. 7.1, Eq. (34)","The clock law changes at the same crossover, recovering the additive pacemaker clock above it.","T1 ~ 0.52 tau + 1.73 for tau <~ 1, and T1 ~ tau + 0.815 for tau >~ 2. Raising lambda to 0.99 does not restore the narrow front at short delay.",E19a (small-tau clock) + E22 lamcheck,data/5_short_delay/data/E19a_cycle_clock.npz ; data/5_short_delay/data/E22_lamcheck.npz,code/experiments/e19a_cycle_clock.py ; code/experiments/e22_desync.py,Figure09_short_delay.png (b),docs/worklogs/REPORT_faible_tau.md E19/E22,established,"The limiting resource at short delay is propagation time, not directed coupling strength."
C-54,7 Delay and correlations,"Sec. 7.2, Eq. (35)",Markov-correlated patterns collapse the bulk of the threshold distribution while the uncorrelated closing seam keeps the largest threshold in the sample: extreme selection survives but the selected barrier becomes an architectural defect rather than a statistical fluctuation.,"At N = 1e4, P = 500, c = 0.2 the median bulk threshold collapses to 0.062 while the seam threshold stays at 0.169.",E27 (Markov video patterns),data/6_correlated_patterns/data/E27_markov_N10000.npz ; data/6_correlated_patterns/data/E27_markov.npz,code/experiments/e27_markov_thresholds.py,Figure10_markov_correlations.png,docs/worklogs/CYCLE_worklog.md E27 ; 0_worklogs/LITERATURE_correlated_patterns.md,established,Direct for the tested seed and ring topology. At stronger correlation the localized states themselves degrade.
C-55,7 Delay and correlations,Sec. 7.3,"Smooth, seam-free periodic correlations melt the discrete barriers and the depinning transition itself disappears.","At nearest-neighbour overlap q1 ~ 0.54 and N = 1e4, only 30 of 500 initialized branches retain an identifiable localized fixed point; forward fraction 1.000 at every tested smoothness and no pinned state down to lambda = 0.20.",E28 (Gaussian-process circle patterns),data/6_correlated_patterns/data/E28_gpcircle_N10000.npz ; data/6_correlated_patterns/data/E28_gpcircle.npz,code/experiments/e28_gpcircle_thresholds.py,Figure11_smooth_correlations.png,docs/worklogs/CYCLE_worklog.md E28,qualified,"'No pinning' is a LOWER TESTED BOUND (lambda >= 0.20), not a proof for all lambda > 0. The V5 register requires this wording."
C-56,8 Implicit delay,"Sec. 8.1, Eq. (36)-(37)","A layered Markovian ODE architecture, with no delay operator, leaves the observed layer with a distributed history dependence that can play the same clocking role.",Intermediate layers t0 U_k' = -U_k + J g(U_k) + lambda g(U_{k-1}); ring closure t0 U_0' = -U_0 + K_seq g(U_{K-1}).,E36 (implicit delay),data/7_implicit_delay/E36_RESULTS.md ; data/7_implicit_delay/E36_RESULTS.json,code/core/layered_chain.py ; code/experiments/e36a_regimes.py,TikZ diagram in the manuscript (Fig. 14),docs/worklogs/CYCLE_worklog.md E36,established,
C-57,8 Implicit delay,"Sec. 8.2, Eq. (38)-(39)","The recall period is linear in the number of intermediate propagation steps, with reproducible slopes across disorder.","N = 500, P = 25, beta = 20, K_lay in {4,6,8,11}, lambda in {1,2,4}, five seeds; T1 = a(lambda) + b(lambda) (K_lay - 1) with R^2 >= 0.999 in every fit. b(1) = 1.67 +/- 0.08, b(2) = 1.17 +/- 0.02, b(4) = 0.94 +/- 0.01 (seed-to-seed spread at most 5% of the slope).",E36 multi-seed,data/7_implicit_delay/data/E36_MULTISEED_RESULTS.md ; data/7_implicit_delay/data/E36_multiseed_computed.json ; data/7_implicit_delay/data/E36A2_delay_seed42..46/,code/experiments/e36a2_delay.py ; code/experiments/e36_postprocess.py,Figure13_implicit_delay.png,docs/worklogs/CYCLE_worklog.md E36,established,Reliable at N = 500 (single size for the main law); size controls run to N = 2000.
C-58,8 Implicit delay,Sec. 8.2,Two independent estimators of the hidden propagation time reproduce the slopes.,Cross-correlation shift between layers and delay between matched relay events agree with the fitted slopes to within 3.4% in the worst case.,E36,data/7_implicit_delay/data/E36_multiseed_computed.json,code/experiments/e36_postprocess.py,Figure13_implicit_delay.png,docs/worklogs/CYCLE_worklog.md E36,established,
C-59,8 Implicit delay,"Sec. 8.2, Eq. (40)","The per-layer delay quantum decreases with the propagation coupling and saturates near 0.75 t0 at strong coupling, refuting the naive value t0.","Dense grid lambda in [1,8] (12 values x 4 depths x 5 seeds, all R^2 >= 0.999): b(lambda) ~ 0.75 + 0.91 lambda^-1.1, with per-seed plateaus b_inf in [0.73, 0.79] and exponents p in [1.0, 1.3].",E36 dense grid (AICc model comparison),data/7_implicit_delay/data/E36_b_lambda_dense_fits.json ; data/7_implicit_delay/data/E36_b_lambda_dense_fits.npz ; data/7_implicit_delay/data/E36_bdense_seed42..46.json,code/experiments/e36_postprocess.py,Figure13_implicit_delay.png,docs/worklogs/CYCLE_worklog.md E36 ; data/7_implicit_delay/data/E36_MULTISEED_RESULTS.md,established,"The results index records the fit as b(lambda) = 0.752 + 0.909 lambda^-1.14 (AICc, 5 seeds); the manuscript rounds to 0.75 + 0.91 lambda^-1.1. No formal lambda -> infinity or N -> infinity statement is demonstrated."
C-60,8 Implicit delay,Sec. 8.2,On the coarse regime grid all five seeds are stationary below and support an ordered wave above a narrow onset.,"Stationary for lambda <= 0.5, ordered wave for lambda >= 1, onset refined to the bracket (0.64, 0.70] at K_lay = 6, with a narrow irregular-switching band just below it.",E36,data/7_implicit_delay/data/E36_lambda_c_refine.json ; data/7_implicit_delay/data/E36A_regimes_seed42..46/,code/experiments/e36a_regimes.py,Figure13_implicit_delay.png,docs/worklogs/CYCLE_worklog.md E36,established,
C-61,8 Implicit delay,Sec. 8.2 (relay argument),A minimal relay argument explains why a sub-unit plateau is expected: a layer crosses zero after t0 ln 2 ~ 0.69 t0 independently of lambda.,Measured plateau b_inf ~ 0.75 sits close to and slightly above this switching bound.,-- (interpretation of E36),data/7_implicit_delay/data/E36_b_lambda_dense_fits.json,--,-,docs/worklogs/CYCLE_worklog.md E36,qualified,Explicitly flagged in the manuscript as an interpretation; what is established numerically is the linear depth law and the saturating quantum.
C-62,9 Conclusion,Conclusion,Summary claim: the bulk of the threshold law ends extensive static recall while its upper extreme selects the bottleneck memory in all tested realizations and predicts the operational depinning boundary at 1e-3 resolution.,"See C-24, C-26, C-28.",N1 + N3 + E24/E30,"see C-24, C-26, C-28","see C-24, C-26, C-28","Figure04, Figure05",data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md,established,"The conclusion must keep the words 'operational' onset and 'leading predictor', per the V2/V3 audit resolution."
C-63,9 Conclusion,Conclusion,Ablation experiments identify two necessary ingredients: a delay-localized traveling front and discrete heterogeneous barriers.,See C-51 to C-55.,E22/N5A + E27 + E28,see C-51 to C-55,see C-51 to C-55,"Figure09, Figure10, Figure11",docs/worklogs/CYCLE_worklog.md,established,
X-01,EXCLUDED,not in the manuscript,Discrete-time / MCMC dynamics and the invalidated float32 N=10000 run.,Refuted or invalid.,pre-E campaigns,[local archive] obsolete/05_invalid_or_refuted/9_obsolete_ne_pas_citer/,--,-,[local archive] obsolete/05_invalid_or_refuted/9_obsolete_ne_pas_citer/SYNTHESIS_WALKTHROUGH.md,limitation,NEVER CITE. Kept only for audit traceability.
X-02,EXCLUDED,not in the manuscript,Long-delay Hopf instability of the memory branch (N5B).,No imaginary-axis crossing over 200/200 spectral points and five seeds; the line was withdrawn from the manuscript scope on 2026-07-30.,N5B,data/v5_campaigns/runs/N5B/,code/campaigns/n5b_long_delay.py,-,data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §7,limitation,Do not claim a delay-induced Hopf transition. Archived for traceability.
X-03,EXCLUDED,not in the manuscript,High-load moving-state phase map (N8) and the MHN/video proof of concept (E35).,"N8: 96/100 trajectories strictly sequential in 19/20 cells, but Lyapunov data cover one seed only. E35: NO-GO on interpolation, kept as a POC.","N8, E35",data/v5_campaigns/runs/N8/ ; 3_numerics/results/8_mhn_video/,code/campaigns/n8_highload.py ; code/experiments/e35v1_eval.py,-,data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §9 ; docs/worklogs/CYCLE_worklog.md E35,limitation,"N8 must not be presented as a definitive phase map or as basin volumes. E35 is a separate project, out of scope for this manuscript."
